Event Name,Log Source,Event Count,Start Time,Low Level Category,Source IP,Source Port,URL (custom),Destination IP,Destination Port,Username,Magnitude
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:44:05 PM","Access Permitted","10.6.162.46","49914","nexus.officeapps.live.com:443/","52.109.124.22","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:43:55 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.64.153","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:43:43 PM","Information","10.6.162.46","49983","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:43:38 PM","Object Not Cached","10.6.162.46","49977","www.google.com/","172.217.12.164","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:43:38 PM","Object Not Cached","10.6.162.46","49978","ping.citrix.com/","23.29.105.232","80","wgonzalez","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy1","1","Sep 27, 2019, 12:43:37 PM","Information","10.6.162.46","49976","workspace.mlp.com:443/","10.153.189.23","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:43:37 PM","Information","10.6.162.46","49977","www.google.com:443/","172.217.12.164","443","wgonzalez","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:43:11 PM","Access Permitted","10.6.162.46","49836","mpgops.service-now.com:443/","149.96.33.210","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:38 PM","Access Permitted","10.6.162.46","49895","N/A","52.6.103.57","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:35 PM","Object Not Cached","10.6.162.46","49692","mlpinfosec.slack.com","13.225.206.153","443","wgonzalez","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:34 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.226.39.153","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:08 PM","Access Permitted","10.6.162.46","49894","N/A","140.82.114.3","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:08 PM","Access Permitted","10.6.162.46","49896","N/A","140.82.113.5","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:07 PM","Information","10.6.162.46","49896","api.github.com:443/","140.82.113.5","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:07 PM","Information","10.6.162.46","49894","github.com:443/","140.82.114.3","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:42:07 PM","Information","10.6.162.46","49895","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:56 PM","Access Permitted","10.6.162.46","49855","N/A","52.6.103.57","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:26 PM","Access Permitted","10.6.162.46","49854","N/A","140.82.114.3","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:25 PM","Access Permitted","10.6.162.46","49859","N/A","140.82.114.5","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:25 PM","Information","10.6.162.46","49859","api.github.com:443/","140.82.114.5","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:24 PM","Information","10.6.162.46","49854","github.com:443/","140.82.114.3","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:24 PM","Information","10.6.162.46","49855","cloud-ec-asn.amp.cisco.com:443/","52.6.103.57","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:16 PM","Access Permitted","10.6.162.46","49811","N/A","185.199.109.154","443","wgonzalez","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:10 PM","Access Permitted","10.6.162.46","49694","mpgops.service-now.com:443/","149.96.33.210","443","N/A","6"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:06 PM","Access Permitted","10.6.162.46","49790","N/A","52.6.103.57","443","N/A","6"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Object Not Cached","10.6.162.46","49297","www.google-analytics.com","172.217.11.46","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Information","10.6.162.46","49827","github.com:443/","192.30.253.112","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Information","10.6.162.46","49828","github.com:443/","192.30.253.112","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Information","10.6.162.46","49825","live.github.com:443/","140.82.113.26","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Information","10.6.162.46","49826","github.com:443/","192.30.253.112","443","N/A","7"
"DIRECT","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Access Permitted","10.6.162.46","49814","N/A","140.82.113.26","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:03 PM","Information","10.6.162.46","49824","avatars1.githubusercontent.com:443/","199.232.36.133","443","wgonzalez","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:41:01 PM","Object Not Cached","10.6.162.46","49715","slack.com","13.225.206.153","443","N/A","6"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Information","10.6.162.46","49817","api.github.com:443/","140.82.114.5","443","N/A","7"
"TCP_ACCELERATED","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Information","10.6.162.46","49816","collector.githubapp.com:443/","3.224.219.57","443","wgonzalez","7"
"TCP_MISS","Bluecoat Logs - rfpproxy2","1","Sep 27, 2019, 12:40:57 PM","Object Not Cached","10.6.162.46","49813","avatars2.githubusercontent.com","199.232.36.133","443","wgonzalez","6"
